map,bpp_target,spa_stego,ci_low,ci_high,n_clusters,n_runs,ssim,t_embed_s
chroma,0.1,0.10975983589669197,0.10563924450343862,0.11504103612009348,200,200,0.9995904142194039,0.055498111499978166
chroma,0.2,0.20861827905110364,0.20493997808277442,0.21325651932077166,200,200,0.999182205560682,0.06155345399999074
chroma,0.4,0.4069817528046431,0.4039390241151361,0.41050047798544476,200,200,0.998369703612824,0.08892426950003024
combined,0.1,0.027710163392034554,0.02335765636820785,0.03317339600087993,200,200,0.9999274715137506,0.5818595809999851
combined,0.2,0.05671194255205653,0.051651839054757065,0.0626349078631822,200,200,0.9997735361434601,0.5798045554999635
combined,0.4,0.14485911054753192,0.1362744917465398,0.15366891010762868,200,200,0.9992503041751237,0.6377646749999485
entropy,0.1,0.028341764082893496,0.023917673206828742,0.03387147016545596,200,200,0.9999238449695247,0.38920056099997963
entropy,0.2,0.05861791949656995,0.053092607369604465,0.06498983728961949,200,200,0.9997608824651053,0.39850040700001954
entropy,0.4,0.15128743793820829,0.14206591100051114,0.16048980422254003,200,200,0.9992152896200271,0.45983346600001823
highfreq,0.1,0.04508742292523862,0.04029674297724665,0.05060438047590019,200,200,0.9998976851022996,0.0726928569999836
highfreq,0.2,0.09710686653735828,0.08976068285521613,0.10497289493924158,200,200,0.9996986882363729,0.08251367999998362
highfreq,0.4,0.2285613952983335,0.21520544440972478,0.24263855700686957,200,200,0.9990908040239141,0.1286784414999374
laplacian,0.1,0.04790829787884606,0.042939019703036936,0.05355052019725426,200,200,0.9998861784386893,0.04960832549998026
laplacian,0.2,0.10325102724150877,0.0950046565721201,0.11239754177020975,200,200,0.999672628529371,0.057261495499960756
laplacian,0.4,0.24254495001460585,0.22714437685064817,0.2585351662505544,200,200,0.9990432215427978,0.10099189599997768
sobel,0.1,0.024328646897791552,0.019908664346291294,0.030116825415994565,200,200,0.9999120899467655,0.046705879500009304
sobel,0.2,0.049289849105548435,0.0442581429946255,0.05526447646162842,200,200,0.9997340599869989,0.05768499549999882
sobel,0.4,0.13250446115058157,0.12423697314239028,0.14098428424455356,200,200,0.9991658678228279,0.10259930600001095
uniform,0.1,0.1095236407436507,0.10540999161498267,0.11480513207886536,200,200,0.9995902273205718,0.03503116099998347
uniform,0.2,0.20841431051300316,0.20451338997115504,0.21322342341729747,200,200,0.9991818603892284,0.046721723000073274
uniform,0.4,0.4055708993223537,0.4021906654387871,0.409246872543739,200,200,0.9983692011825474,0.07286032699999846
variance,0.1,0.030059239553477442,0.025830850198366864,0.035441558673586705,200,200,0.9999305128135437,0.09459000799996825
variance,0.2,0.06168304821175613,0.056797048583222494,0.06722210761603718,200,200,0.9997776873688313,0.11310664349999111
variance,0.4,0.16738970697397879,0.1573933674448671,0.17772705621445778,200,200,0.999216731328135,0.14666350600002262
