map,bpp_target,spa_stego,ci_low,ci_high,n_clusters,n_runs,ssim,t_embed_s
chroma,0.1,0.07523389174934188,0.07225614181762088,0.07832547692445767,12,36,0.9998300405929391,0.013613544444928622
chroma,0.2,0.11314798820151696,0.10886611474423388,0.11744450084146153,12,36,0.9996934782774186,0.014664041666239582
chroma,0.4,0.23619187194093103,0.2314002578045851,0.2413042419941052,12,36,0.9993380144935305,0.016515458333338298
combined,0.1,0.014852540961646366,0.011780216589552509,0.017798489412427475,12,36,0.9998919256147909,0.0290005861113766
combined,0.2,0.02489135545355585,0.021827649139557755,0.0276547410721787,12,36,0.9997451776185722,0.029237969444794593
combined,0.4,0.05242528883493865,0.049700446676013345,0.05492392510526844,12,36,0.9994242900798533,0.032565930554685256
entropy,0.1,0.014725290435431736,0.01190839435380842,0.017318044594503392,12,36,0.9998760288523889,0.01913425833360326
entropy,0.2,0.02782498157724089,0.024803574199450576,0.03089971115682202,12,36,0.999697266472101,0.020163397222454933
entropy,0.4,0.058039390382292826,0.05470425132164766,0.06137595612365318,12,36,0.9993431563526539,0.022299338888842557
highfreq,0.1,0.031681180106595805,0.028738138040771088,0.03457804306462877,12,36,0.9999033927672994,0.012169124999773935
highfreq,0.2,0.050299378790858267,0.04766412651172288,0.052961818682482106,12,36,0.9997439476311597,0.01254304722189969
highfreq,0.4,0.08559894976038139,0.08305664616725919,0.08811391332591006,12,36,0.9994076392469613,0.014644391666580348
laplacian,0.1,0.026937041960711866,0.023893352251589693,0.029701230410972185,12,36,0.999874732337954,0.007747283333325513
laplacian,0.2,0.047971749080762384,0.04504160073064309,0.05076421572851252,12,36,0.9997084209161113,0.008173638889274979
laplacian,0.4,0.0868846679992734,0.08414914882767725,0.08948837095163113,12,36,0.9993644301527526,0.00961495000006426
sobel,0.1,0.012838135901776966,0.010041984116247727,0.01554826046973853,12,36,0.999884828311666,0.007934044444886592
sobel,0.2,0.018428535565159363,0.015539020307009018,0.021259538216543934,12,36,0.9997280488405221,0.008427066666222796
sobel,0.4,0.04032919330060597,0.03763257042484841,0.042808381793604876,12,36,0.9993926630518065,0.010217325000161856
uniform,0.1,0.025815387809209545,0.022342475734414308,0.029153173782523533,12,36,0.9997922225943191,0.00982174166589777
uniform,0.2,0.059435099513230484,0.05576800592363686,0.0630772812904076,12,36,0.9995846787698685,0.01043647500005636
uniform,0.4,0.12680962095830955,0.12320184956502138,0.1303686801522741,12,36,0.9991712813750319,0.011886500000400655
variance,0.1,0.02280024558444306,0.019685484842737907,0.0257047003026474,12,36,0.9999103394271515,0.008411530556056932
variance,0.2,0.028742003168059593,0.02589195371644172,0.03159438610521814,12,36,0.9997585902647187,0.009066269444398683
variance,0.4,0.050292485010132254,0.04713449936614671,0.05349691390403363,12,36,0.9994305817012843,0.01037483333291468
