bpp_target,method,baseline,mean_diff,diff_ci_low,diff_ci_high,median_ratio,better_on,n_clusters,significant
0.05,adaptive,random,-0.04173130356133142,-0.04279738058751687,-0.040591166021879274,0.20687170028915047,200,200,True
0.05,adaptive-matching,random,-0.04470919284406904,-0.04573827387135483,-0.04357636412821448,0.12305531240185327,200,200,True
0.05,edge,random,-0.042909624847574934,-0.04392676073714218,-0.04179229475984269,0.18025134531956816,199,200,True
0.05,matching,random,-0.0430887881328759,-0.044370569609559166,-0.041711324331094424,0.08369713737081459,200,200,True
0.05,sequential,random,0.015175217341052937,0.011749305080604622,0.01883613488298823,1.2134486872075658,61,200,True
0.05,stc,random,-0.04612054334454692,-0.04700220002072891,-0.045146510752000484,0.10420167618869984,200,200,True
0.05,uniward,random,-0.0461822963313875,-0.04704018475464248,-0.045211564673607624,0.09293818133114323,200,200,True
0.05,wow,random,-0.04643861775607938,-0.047371020429481075,-0.04545404341810543,0.09327376553085225,200,200,True
0.1,adaptive,random,-0.081735570577153,-0.08349211725501181,-0.07985626908103752,0.20705641936012606,200,200,True
0.1,adaptive-matching,random,-0.09025170568319257,-0.09159267369436647,-0.08876816743356351,0.11937259896729746,200,200,True
0.1,edge,random,-0.08487261679022148,-0.08635629461204705,-0.08322335277796851,0.1749681138860369,199,200,True
0.1,matching,random,-0.08954869556151643,-0.09183573224069191,-0.08705720147612074,0.046453978546802596,200,200,True
0.1,sequential,random,0.029626416834816115,0.022689291158257983,0.03662855143859317,1.2203385561918485,56,200,True
0.1,stc,random,-0.09515584819792348,-0.09613090742368693,-0.09408572585869729,0.05082272348675637,200,200,True
0.1,uniward,random,-0.09545039986650114,-0.09646269687879612,-0.09436924546553664,0.04167626977614045,200,200,True
0.1,wow,random,-0.09548845814538856,-0.09646843556867844,-0.09443364093697285,0.0406300661809392,200,200,True
0.2,adaptive,random,-0.15186226893583143,-0.15539594148638655,-0.14808521320131413,0.2466141585835604,199,200,True
0.2,adaptive-matching,random,-0.17521017872877934,-0.1776689330396791,-0.17254302003797325,0.13600059893588684,200,200,True
0.2,edge,random,-0.15869955308831024,-0.16182172393427635,-0.15549226395739604,0.21989331745971197,199,200,True
0.2,matching,random,-0.18203734699677773,-0.18653759230951228,-0.1768994976874166,0.022778674778119394,200,200,True
0.2,sequential,random,0.05138039544171812,0.03919434427794146,0.06354005624772951,1.19491746691408,54,200,True
0.2,stc,random,-0.191920627670119,-0.1936392803710232,-0.19005070856192904,0.03138261302870701,200,200,True
0.2,uniward,random,-0.19158859920429072,-0.19338190306550843,-0.18964351955064482,0.02657224161327945,200,200,True
0.2,wow,random,-0.19180785723838525,-0.1935749212578966,-0.19001850989894403,0.025299242654515275,200,200,True
0.4,adaptive,random,-0.2615314146856169,-0.2699138752529931,-0.25318489371874536,0.33598197678287495,200,200,True
0.4,adaptive-matching,random,-0.32633357300514393,-0.3317259352292965,-0.32083756218013454,0.17889438216623532,200,200,True
0.4,edge,random,-0.27252719725303687,-0.2800261318676222,-0.26452606839344633,0.31679008688991567,200,200,True
0.4,matching,random,-0.3676020550316102,-0.37641779599094477,-0.3577704121592345,0.015269602407359601,200,200,True
0.4,sequential,random,0.05710687298439195,0.038939264127829894,0.07493158834775317,1.1093559222902665,71,200,True
0.4,stc,random,-0.38269564180496457,-0.3867476260604267,-0.3781587352757048,0.017095481312828398,200,200,True
0.4,uniward,random,-0.3824617962616314,-0.38672010176416716,-0.37761142547626053,0.013153836798620352,200,200,True
0.4,wow,random,-0.3829876982094996,-0.3872354622653966,-0.37842067956307157,0.011451548912311073,200,200,True
