method,bpp_target,spa_stego,spa_stego_lo,spa_stego_hi,n_clusters,n_runs,psnr_db,psnr_db_lo,psnr_db_hi,ssim,ssim_lo,ssim_hi,change_rate,change_rate_lo,change_rate_hi,embedding_efficiency,embedding_efficiency_lo,embedding_efficiency_hi,t_embed_s,t_embed_s_lo,t_embed_s_hi,t_extract_s,t_extract_s_lo,t_extract_s_hi
adaptive,0.05,0.01797566660555637,0.01382395181905537,0.023405469438225433,200,600,64.15139076541523,64.14824386398686,64.1544565005336,0.9999756123232701,0.9999711175922688,0.9999793032374419,0.025001004536946578,0.024983361244201623,0.025019163290659546,2.0000380351946005,1.9985892125188436,2.0014510205706064,0.3985194414999887,0.37389294339165585,0.4225899968416733,0.42514307583335414,0.3992825828208424,0.4507143439083862
adaptive,0.1,0.027665333641587412,0.023330436408781415,0.03320916962501592,200,600,61.141563092460636,61.13925715373791,61.14397692266756,0.9999274912976549,0.9999155631643942,0.999937573317762,0.04999568939208981,0.04996791187922156,0.05002222712834672,2.000220314426112,1.9991579944121538,2.0013315733934167,0.42220198466667624,0.3973026551750182,0.4465435364541963,0.44410453383334697,0.4183731933250111,0.46971886824167636
adaptive,0.2,0.05645732002582925,0.05126613384886202,0.06230808008062981,200,600,58.131151949230095,58.129552517829346,58.13271618392765,0.9997735485522958,0.9997415892152779,0.9998022382041762,0.09999291102091468,0.09995686197280881,0.10002973572413124,2.000186687442445,1.9994502185896472,2.000906534454295,0.4498024773333464,0.4241405908250164,0.47456582179585294,0.46893472566666333,0.4437764144666416,0.4931544928708345
adaptive,0.4,0.1443800089739578,0.1356948998290118,0.1531131360029893,200,600,55.12104524960662,55.11994302097969,55.12215385161474,0.9992506692895563,0.9991705164370733,0.9993283523500364,0.19997606277465818,0.19992502133051548,0.20002683766682935,2.0002670891232825,1.9997596438846428,2.000777430569399,0.49171386800002137,0.46492081312918615,0.5175299615166615,0.5098291046666585,0.4833681869333388,0.5359862648166716
adaptive-matching,0.05,0.01499777732281876,0.010994628504423417,0.020395627687960022,200,600,64.15385036688483,64.15108247724586,64.15657917509319,0.999975553898176,0.9999709879257446,0.9999793022887166,0.02498682657877601,0.024971122105916305,0.02500277868906653,2.001169297469981,1.9998912191453986,2.002428476111338,0.42128524299997183,0.39833352936245336,0.4440645035708231,0.4342455491666427,0.4100025872499966,0.45767887654165856
adaptive-matching,0.1,0.019149198535547834,0.015065629888374843,0.024519964275909193,200,600,61.14207682599919,61.13992485444588,61.14425471759073,0.9999272309816442,0.9999150505296669,0.9999377156728384,0.0499897193908691,0.04996465047200518,0.05001451015472408,2.000454670846037,1.9994634352349936,2.0014574105542815,0.4221158901666771,0.39888883288336796,0.44457286278334107,0.42793066333332413,0.4036514874333449,0.4518139729499869
adaptive-matching,0.2,0.03310941023288136,0.028735896553724567,0.03852502968184598,200,600,58.13095183488405,58.129452645799226,58.13246279686242,0.9997722887119713,0.9997418763329998,0.9998016527771472,0.09999755859374997,0.09996274296442663,0.10003213961919145,2.0000953281293246,1.9994054170083775,2.000790657656995,0.4049600438333315,0.3823095052375007,0.42725528024170967,0.40914458600002945,0.3854315827625191,0.4325010281625261
adaptive-matching,0.4,0.07957785065443085,0.07368060316840763,0.08595042106635793,200,600,55.12055146415039,55.119518234560445,55.1215800779486,0.9992466933099187,0.9991627767606501,0.9993257261287539,0.19999872207641595,0.19995136213302608,0.20004631217320756,2.000038888631678,1.9995628721984544,2.000512277446728,0.39150827083332684,0.3666359739583041,0.41631087558750013,0.3836117964999767,0.3581125254249642,0.40860169093333903
edge,0.05,0.01679734531931286,0.012701017156421949,0.022312765447560588,200,600,64.15120806898258,64.14838092719307,64.15404645088054,0.9999700945928788,0.9999651461937509,0.9999743723742943,0.025002028147379517,0.02498571364084876,0.025018285433451297,1.999951754174021,1.9986489006725994,2.001259373790041,0.038381435166676615,0.03650180568337066,0.04027889287500142,0.037137827166657145,0.035314656049984315,0.038980039420801284
edge,0.1,0.02452828742851893,0.02013368258932154,0.030273798316355027,200,600,61.14081817899467,61.138662052568655,61.14300492045042,0.9999120570526213,0.999899632907334,0.9999235706766427,0.05000424067179358,0.049979050318400026,0.05002909390131628,1.999876254621443,1.998884476982414,2.0008840742950578,0.04320115349998403,0.041008926187497706,0.04532342862915435,0.04256836050001306,0.0403837988583325,0.044685970554171735
edge,0.2,0.049620035873350454,0.044609488300899704,0.05566219623331216,200,600,58.130062816666886,58.12859772601215,58.13151909836148,0.9997341045073176,0.999701431867618,0.9997638845989406,0.10001791636149086,0.09998442284266149,0.10005168946584062,1.9996836551569617,1.9990096992756095,2.0003542500975158,0.055645464666666415,0.05308738249164494,0.05820845314583917,0.05591431983333825,0.053335943416652064,0.058490831437496345
edge,0.4,0.13338422640653788,0.1253549488604282,0.14205537902079837,200,600,55.11951697246087,55.11847307646729,55.12056900147425,0.999165597135468,0.9990849513004483,0.9992423261453798,0.2000463549296061,0.19999786949157713,0.20009448003768918,1.999562406191645,1.999082219793049,2.0000468681145187,0.10051344750000979,0.09438273142917046,0.10683422847916017,0.10986479399999396,0.10267918617501116,0.11722994313749253
matching,0.05,0.01661818203401189,0.012158175030978054,0.022305877786910906,200,600,64.15054484500367,64.14752784558735,64.1535856672237,0.9997949389722223,0.9997853016050328,0.9998046756607454,0.0250058555603027,0.024988352298736534,0.02502320655186967,1.999647065439996,1.9982625719685032,2.001046042475665,0.019725800833320997,0.018726159049982153,0.020712777875009074,0.017448768999982604,0.016569121691673017,0.01836219278744904
matching,0.1,0.019852208657223997,0.014855240920529998,0.02605109641121953,200,600,61.141830410582926,61.139490952486625,61.14419065968431,0.999590264291804,0.9995704774020424,0.9996099541428616,0.049992663065592406,0.04996550210316972,0.05001962788899736,2.0003454670051974,1.9992668656354131,2.001432524745588,0.02387043833333332,0.022733419966675366,0.025053990170811846,0.01986375116665836,0.018990716920798102,0.02076419902084713
matching,0.2,0.026282241964882963,0.01969298892949857,0.03402459003564485,200,600,58.130698768912225,58.12908517221377,58.13234179913104,0.9991817981961426,0.9991416196646817,0.9992215639397886,0.10000345230102535,0.09996564706166582,0.10004058869679765,1.9999801085999585,1.999237402230161,2.0007357947488784,0.030577863333299576,0.029232457949947336,0.031901259774995604,0.02587737199999078,0.024598806666655138,0.027157337591671563
matching,0.4,0.038309368627964524,0.02793694015987081,0.04952146578651728,200,600,55.12023627114962,55.119141635181485,55.121312273509524,0.9983688613930306,0.9982883701525286,0.9984478211552756,0.20001333236694332,0.19996379152933752,0.2000638600985209,1.9998946848250971,1.9993903812333873,2.000390260302202,0.05582090116667279,0.05298347634167634,0.058659256520827936,0.04878850366666782,0.045845928354171665,0.051713887666654114
random,0.05,0.05970697016688779,0.05555472105236739,0.06491998226803361,200,600,64.15054484500367,64.1475140801183,64.15350890329952,0.9997949470642767,0.9997849131227536,0.9998050928065043,0.0250058555603027,0.024988790988922083,0.025023289203643762,1.999647065439996,1.99825130902834,2.001011435773064,0.01771405100001625,0.016771750062523957,0.018690967274983244,0.01594946883333397,0.0151563469375001,0.016759416283333575
random,0.1,0.10940090421874041,0.1055080174854036,0.11444919648312071,200,600,61.141830410582926,61.13947493478347,61.14414689124944,0.9995902905106503,0.9995709387245207,0.9996101241065157,0.049992663065592406,0.04996599785486853,0.05001975520451859,2.0003454670051974,1.9992593793334064,2.0014124571196774,0.02041243583331223,0.019393904995830276,0.021449302854159847,0.01880496883333606,0.01793064599584616,0.019680267383325553
