method,bpp_target,n,psnr_db,psnr_ci,ssim,ssim_ci,spa_stego,spa_ci,spa_cover,change_rate,efficiency,recovered,t_embed_s,t_extract_s
adaptive,0.05,36,69.54215704205554,0.022207412135785906,0.999967067562205,2.501031487004256e-07,0.010769976576571165,0.0016441141439404296,0.0026854748194915165,0.00722630818684892,2.0782708552850333,1.0,0.016949783333277235,0.017010616666690667
adaptive,0.1,36,66.21901632225209,0.014479127600435055,0.999899738331161,5.135862303037646e-07,0.012653731181661696,0.0017237626232464954,0.0026854748194915165,0.015531045419198466,2.0411247528792917,1.0,0.017324555555407795,0.017992525000105713
adaptive,0.2,36,63.052879843502815,0.010716973624985105,0.9997526452595485,8.128596024560573e-07,0.02310427940911225,0.0018080351655643308,0.0026854748194915165,0.03219618620695888,2.0196924429910457,1.0,0.01799387222227875,0.018664197222379757
adaptive,0.4,36,59.96555443630838,0.0076042937240895616,0.9994319795486155,1.4032340206656365e-06,0.050497211406809704,0.0017872911908601392,0.0026854748194915165,0.06554370456271699,2.008993173832641,1.0,0.01929116111104016,0.020015866666957007
adaptive-matching,0.05,36,69.49351261580058,0.025379098610795042,0.9999670194654047,2.55960586915323e-07,0.009414692870507625,0.0014842574306412216,0.0026854748194915165,0.0073079709653500885,2.0551970877982018,1.0,0.017000083333591102,0.016967166666391725
adaptive-matching,0.1,36,66.18175760660918,0.01671656629238189,0.9998993898337959,5.145089209679773e-07,0.00989328319735688,0.0014590414463353581,0.0026854748194915165,0.01566512496383099,2.0237227695043787,1.0,0.01750216388922525,0.017908941666367608
adaptive-matching,0.2,36,63.03157417546052,0.01252548428640213,0.9997520599346204,9.41883436793661e-07,0.01606276587272719,0.0014624523670275578,0.0026854748194915165,0.032354849356192095,2.0098289935481812,1.0,0.018544894444453806,0.018675197222768836
adaptive-matching,0.4,36,59.95396743636292,0.00995465720131765,0.9994301160991278,1.5376642684401906e-06,0.03142490052623458,0.001600851576005699,0.0026854748194915165,0.06571946320710355,2.003660310721844,1.0,0.020529069444415207,0.0200360611112652
edge,0.05,36,69.45198857700922,0.022215904197867453,0.99996248578195,3.530630314715435e-07,0.009490443774629133,0.0015707914565269898,0.0026854748194915165,0.007377907081886539,2.035567568885824,1.0,0.007122236111172183,0.007190330555406184
edge,0.1,36,66.16756588028386,0.0115543624120264,0.9998925522772519,4.676859671647805e-07,0.011843571816025432,0.0015732839564409516,0.0026854748194915165,0.01571584630895541,2.0170492068754733,1.0,0.00734746111083945,0.008020852777917701
