method,size,megapixels,bpp,message_bytes,embed_best_ms,embed_median_ms,extract_best_ms,extract_median_ms,embed_mpx_per_s,extract_mpx_per_s,throughput_kb_per_s,peak_memory_mb,memory_per_megapixel_mb
sequential,256,0.065536,0.2,1574,0.07710000136285089,0.08929999967222102,0.04859999899053946,0.05660000169882551,850.0129551434381,1348.4773942640888,19936.56741672414,0.3897733688354492,5.947469617240131
random,256,0.065536,0.2,1574,5.111499998747604,5.3650000008929055,6.026299997756723,6.114299998444039,12.821285340126641,10.87499792980695,300.7159102761646,4.520415306091309,68.97606363054365
matching,256,0.065536,0.2,1574,5.513699998118682,5.671499999152729,5.861099998583086,6.01009999809321,11.886029349141484,11.181518830226963,278.7800162367329,4.520369529724121,68.97536513861269
edge,256,0.065536,0.2,1574,9.436000000278,9.676899997430155,10.46199999836972,10.693899999751011,6.945315811580034,6.264194227701433,162.89840768913885,6.7032670974731445,102.28373866993934
adaptive,256,0.065536,0.2,1574,20.485199998802273,20.61429999957909,21.582400000625057,21.91550000134157,3.1991877064335106,3.036548298525742,75.03511682042995,6.706584930419922,102.33436478301883
adaptive-matching,256,0.065536,0.2,1574,21.52890000070329,22.16039999984787,21.881499997107312,22.36780000021099,3.0440942174407017,2.995041473786702,71.39748779314256,6.7067155838012695,102.33635839540511
sequential,512,0.262144,0.2,6489,0.29409999842755497,0.4650999981095083,0.0957000011112541,0.10390000170446001,891.3430853505203,2739.226718453742,21546.80073574009,1.5567760467529297,5.938629328738898
random,512,0.262144,0.2,6489,22.149199998239055,22.43309999903431,27.340900000126567,27.619899999990594,11.835371030142914,9.587979912833392,286.10126158072563,18.06248664855957,68.90291842864826
matching,512,0.262144,0.2,6489,23.971400001755683,24.235400000179652,27.261999999609543,27.592399997956818,10.93569837309462,9.615728853486704,264.35310670365016,18.06248664855957,68.90291842864826
edge,512,0.262144,0.2,6489,41.96320000119158,42.666200002713595,43.73259999920265,44.31950000071083,6.246997368946033,5.994246854858378,151.01122083921288,26.807884216308594,102.26396261714399
adaptive,512,0.262144,0.2,6489,119.21029999939492,122.70070000158739,110.53840000022319,122.15410000135307,2.1990046162230157,2.371519761453673,53.157437423881696,26.811336517333984,102.27713210042566
adaptive-matching,512,0.262144,0.2,6489,113.01950000051875,120.84350000077393,119.17579999862937,120.15220000103,2.319458146592374,2.1996412023499308,56.06920984848556,26.811287879943848,102.2769465635065
sequential,1024,1.048576,0.2,26150,1.6350000005331822,1.6924999981711153,0.3099999994446989,0.3174999983457383,641.3308866410115,3382.5032318655085,15619.027135579336,6.225459098815918,5.93706045037834
random,1024,1.048576,0.2,26150,93.13680000195745,96.172800000204,112.21129999830737,114.58660000062082,11.25844993577149,9.344656019632756,274.1892503764708,72.23116970062256,68.88501138746506
matching,1024,1.048576,0.2,26150,101.44859999854816,101.50249999787775,113.45149999760906,115.35290000028908,10.336032237162526,9.24250450652568,251.7246110381559,72.23116970062256,68.88501138746506
edge,1024,1.048576,0.2,26150,239.91319999913685,242.33300000196323,249.39979999908246,250.57989999913843,4.370647384152988,4.204397918538257,106.44311932437179,107.22656726837158,102.25922324025305
adaptive,1024,1.048576,0.2,26150,745.3077999998641,751.4921000001777,761.6223000004538,762.5513999992108,1.4069032955246024,1.37676641033144,34.263842904910774,107.2299747467041,102.26247286482248
adaptive-matching,1024,1.048576,0.2,26150,746.5262000005168,754.3166000032215,751.6866999976628,760.4845999994723,1.4046070988523565,1.394964151957538,34.20792113522917,107.23001956939697,102.26251561107347
sequential,2048,4.194304,0.2,104793,12.016599997878075,12.1846000001824,2.5800000003073364,2.7315000006638,349.04249128211325,1625.699224612544,8516.295298218376,24.900419235229492,5.936722573096631
random,2048,4.194304,0.2,104793,440.6118000006245,443.21819999822765,511.7991999977676,535.0225000001956,9.519272974518737,8.195214060550104,232.26094730634756,288.90613746643066,68.88059078846709
matching,2048,4.194304,0.2,104793,474.5241000018723,481.4104999968549,514.3639999987499,518.8130999995337,8.838969401097755,8.154349837877833,215.66220569639395,288.90613746643066,68.88059078846709
edge,2048,4.194304,0.2,104793,1158.0771000008099,1173.6782000007224,1151.893199999904,1258.0932999990182,3.6217830401767435,3.6412264609256737,88.36796277417837,428.9015350341797,102.25809455732815
adaptive,2048,4.194304,0.2,104793,3518.526500000007,3558.6781000019982,3583.4869999998773,3587.4664000002667,1.1920626432684225,1.1704532484700358,29.08516222984246,428.9029760360718,102.25843811895174
adaptive-matching,2048,4.194304,0.2,104793,3611.0364999985904,3614.900200002012,3664.425199996913,3666.6657000023406,1.1615235680950988,1.144600795781978,28.340038673810124,428.90287590026855,102.25841424471582
